Asia Temperature Anomalies, January-December
Units: Degrees Celsius
Base Period: 1910-2000
Missing: -999
Year,Value
1950,-0.43
1951,0.04
1952,-0.40
1953,0.19
1954,-0.35
1955,-0.06
1956,-0.51
1957,-0.27
1958,-0.06
1959,0.05
1960,-0.23
1961,0.23
1962,0.37
1963,0.39
1964,-0.32
1965,-0.13
1966,-0.17
1967,0.15
1968,-0.21
1969,-0.78
1970,-0.05
1971,0.15
1972,-0.33
1973,0.42
1974,-0.24
1975,0.54
1976,-0.40
1977,0.10
1978,0.20
1979,0.19
1980,0.18
1981,0.63
1982,0.27
1983,0.69
1984,-0.18
1985,-0.01
1986,0.24
1987,-0.01
1988,0.75
1989,0.72
1990,0.94
1991,0.67
1992,0.27
1993,0.33
1994,0.54
1995,1.23
1996,0.32
1997,0.79
1998,0.85
1999,0.92
2000,0.77
2001,0.98
2002,1.24
2003,1.07
2004,1.14
2005,1.19
2006,0.97
2007,1.67
2008,1.36
2009,0.96
2010,1.05
2011,1.07
2012,0.88
2013,1.33
2014,1.04
2015,1.71
2016,1.61
2017,1.69
2018,1.34
2019,1.67
