North America Temperature Anomalies, January-December
Units: Degrees Celsius
Base Period: 1910-2000
Missing: -999
Year,Value
1950,-0.62
1951,-0.49
1952,0.42
1953,0.71
1954,0.34
1955,-0.27
1956,-0.31
1957,0.13
1958,0.31
1959,-0.16
1960,0.08
1961,-0.12
1962,0.02
1963,0.19
1964,-0.36
1965,-0.42
1966,-0.41
1967,-0.21
1968,-0.16
1969,-0.07
1970,-0.27
1971,-0.30
1972,-0.93
1973,0.21
1974,-0.29
1975,-0.30
1976,-0.05
1977,0.56
1978,-0.21
1979,-0.28
1980,0.31
1981,1.13
1982,-0.58
1983,0.09
1984,0.10
1985,-0.18
1986,0.46
1987,1.13
1988,0.48
1989,-0.04
1990,0.31
1991,0.55
1992,0.15
1993,0.22
1994,0.40
1995,0.43
1996,-0.23
1997,0.45
1998,1.54
1999,1.09
2000,0.77
2001,1.19
2002,0.69
2003,0.87
2004,0.52
2005,1.23
2006,1.50
2007,0.83
2008,0.29
2009,0.40
2010,1.44
2011,0.92
2012,1.54
2013,0.53
2014,0.58
2015,1.38
2016,1.92
2017,1.50
2018,0.87
2019,0.90
