Oceania Temperature Anomalies, January-December
Units: Degrees Celsius
Base Period: 1910-2000
Missing: -999
Year,Value
1950,-0.40
1951,-0.20
1952,-0.25
1953,-0.23
1954,-0.19
1955,-0.19
1956,-0.59
1957,0.11
1958,0.26
1959,0.34
1960,-0.33
1961,0.18
1962,0.07
1963,-0.07
1964,-0.05
1965,0.18
1966,-0.29
1967,-0.09
1968,-0.18
1969,0.16
1970,0.11
1971,0.00
1972,0.26
1973,0.66
1974,-0.31
1975,0.07
1976,-0.39
1977,0.16
1978,0.05
1979,0.50
1980,0.73
1981,0.46
1982,0.22
1983,0.54
1984,-0.10
1985,0.37
1986,0.42
1987,0.36
1988,0.87
1989,0.25
1990,0.63
1991,0.64
1992,0.30
1993,0.45
1994,0.32
1995,0.33
1996,0.63
1997,0.44
1998,1.04
1999,0.53
2000,0.25
2001,0.36
2002,0.85
2003,0.85
2004,0.67
2005,1.17
2006,0.66
2007,0.83
2008,0.61
2009,1.03
2010,0.63
2011,0.24
2012,0.45
2013,1.36
2014,1.12
2015,1.07
2016,1.20
2017,1.12
2018,1.13
2019,1.37
