Africa Temperature Anomalies, January-December
Units: Degrees Celsius
Base Period: 1910-2000
Missing: -999
Year,Value
1950,-0.32
1951,-0.15
1952,-0.03
1953,-0.21
1954,-0.30
1955,-0.13
1956,-0.40
1957,-0.17
1958,0.20
1959,-0.08
1960,0.06
1961,-0.20
1962,-0.03
1963,0.04
1964,-0.28
1965,-0.27
1966,0.11
1967,-0.32
1968,-0.22
1969,0.32
1970,0.12
1971,-0.25
1972,-0.02
1973,0.26
1974,-0.31
1975,-0.26
1976,-0.27
1977,0.14
1978,0.08
1979,0.35
1980,0.33
1981,0.10
1982,0.05
1983,0.41
1984,0.21
1985,0.22
1986,0.18
1987,0.76
1988,0.41
1989,0.03
1990,0.54
1991,0.27
1992,0.11
1993,0.39
1994,0.27
1995,0.53
1996,0.47
1997,0.46
1998,0.90
1999,0.64
2000,0.44
2001,0.66
2002,0.82
2003,0.89
2004,0.81
2005,1.03
2006,0.79
2007,0.79
2008,0.70
2009,0.97
2010,1.43
2011,0.78
2012,0.81
2013,0.91
2014,0.97
2015,1.17
2016,1.45
2017,1.14
2018,1.17
2019,1.33
