Entity,Code,Year,Geo_biomass,Hydro,Solar,Wind
China,CHN,2019,102.8297,1269.674,223.8,405.7
China,CHN,2018,93.7238,1198.887,176.9,365.8
China,CHN,2017,79.59748,1165.065,117.8,304.6
China,CHN,2016,62.13477,1153.268,66.52795,240.8605
China,CHN,2015,54.07029,1114.515,39.48057,185.5914
China,CHN,2014,46.26822,1059.692,23.51216,159.7627
China,CHN,2013,37.133,909.6123,8.373887,138.2641
China,CHN,2012,30.133,862.7941,3.59451,103.0499
China,CHN,2011,27.632,688.045,2.61,74.1
China,CHN,2010,24.90023,711.3831,0.701,49.39962
United States,USA,2019,78.33997,271.1582,108.3586,303.102
United States,USA,2018,81.91285,289.5146,94.30808,275.4038
United States,USA,2017,82.80036,296.8067,78.05758,256.8714
China,CHN,2008,14.866,636.96,0.152,13.1
China,CHN,2009,20.85932,615.644,0.279,27.615
United States,USA,2016,82.72257,263.7637,55.4202,229.2854
United States,USA,2015,83.73627,246.4531,39.42626,192.645
United States,USA,2014,84.07023,255.7506,29.21616,183.4902
United States,USA,2013,80.66553,266.5498,16.0397,169.5351
United States,USA,2011,75.77516,316.0953,4.738904,121.3905
Brazil,BRA,2019,56.25437,399.2971,5.562711,55.8332
United States,USA,2012,77.0361,274.03,9.037014,142.2441
China,CHN,2007,9.863,485.264,0.114,5.479293
Brazil,BRA,2018,54.38223,388.9711,3.461435,48.47514
Brazil,BRA,2017,52.91211,370.9065,0.831813,42.37326
Brazil,BRA,2016,51.3347,380.9109,0.085261,33.48887
Brazil,BRA,2011,32.62904,428.3329,0,2.704769
Brazil,BRA,2012,35.76567,415.3422,0.00098,5.05
China,CHN,2006,7.133,435.786,0.095,3.711818
Canada,CAN,2017,10.85048,394.5874,3.580808,31.51362
Brazil,BRA,2013,40.97185,390.992,0.004794,6.575863
Brazil,BRA,2010,31.94238,403.2898,0,2.176558
Canada,CAN,2018,10.03845,385.8788,3.854141,33.18639
Brazil,BRA,2014,47.07918,373.4391,0.016082,12.21025
Brazil,BRA,2015,49.88032,359.7428,0.058917,21.6257
Canada,CAN,2019,10.80899,381.9769,4.314705,34.17212
Canada,CAN,2016,11.35952,385.4324,3.271717,30.93312
United States,USA,2010,75.06185,257.2747,3.013036,95.60833
Canada,CAN,2015,9.987179,382.1933,2.895,26.96639
United States,USA,2009,73.15986,271.5331,2.07596,74.63246
Canada,CAN,2013,11.03561,391.7889,1.4988,11.14544
Brazil,BRA,2009,22.87587,390.9881,0,1.238
Canada,CAN,2014,9.795245,382.5014,2.1198,12.81707
China,CHN,2005,5.322,397.017,0.084,1.946061
Canada,CAN,2012,10.91382,380.2671,0.881,11.31149
Canada,CAN,2011,10.21378,375.7237,0.5716,10.18857
