Sector,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,Country,Investments
Wind,18.9,27.3,36.3,59.1,73.9,73.3,98.3,84.7,77.9,83.2,110.7,121.5,124.9,129.7,131.5,,,China,83.4
Solar,10.7,15.3,21.5,37.5,60.3,63.4,101.7,158.8,142.9,121.4,148,176.2,146.3,180,141.1,,,US,55.5
Bio fuel,3.9,9.8,26.2,26.4,17.6,9.4,10.1,10.4,7.7,5.1,5.5,3.6,2.1,3.2,3,,,Japan,16.5
Biomass,7.9,9.3,12,15.9,16.2,13.4,17.3,20.9,15.4,14.6,12.9,10.3,13.6,5.7,9.3,,,India,9.3
Small hydro,2.8,7.4,6.8,6.4,7.6,5.9,8.2,7.7,6.3,5.7,7.4,4,4.4,3.8,0.9,,,Brazil,6.5
Goethermal,1.1,0.8,1.3,1.7,1.7,2.5,2.8,3.8,1.7,2.7,2.9,2.5,2.7,2.3,2.3,,,Australia,5.6
Marine,0,0.1,0.1,0.7,0.2,0.3,0.3,0.3,0.3,0.2,0.4,0.2,0.2,0.2,0.2,,,Netherlands,5.5
,,,,,,,,,,,,,,,,,,UK,5.3
,,,,,,,,,,,,,,,,,,Chile,4.9
,,,,,,,,,,,,,,,,,,UAE,4.5
,,,,,,,,,,,,,,,,,,France,4.4
,,,,,,,,,,,,,,,,,,Germany,4.4
,,,,,,,,,,,,,,,,,,Mexico,4.3
,,,,,,,,,,,,,,,,,,Sweden,3.7
,,,,,,,,,,,,,,,,,,Ukraine,3.4
,,,,,,,,,,,,,,,,,,Argentina,2
